index,created at,text,sentiment,subjectivity,class
87,29/4/2018 4:08,"SISTEM PENDIDIKAN NEGARA DEKAT DI HATI NAJIB RAZAK,ÿPM https//t.co/szYT6kn2sr https//t.co/mAecKRYx5m",0,0,1
88,29/4/2018 4:08,"Jgn risau, bro. Kalo DAP pun PAS xmau, apatahlagi BN. 

Tapi yg patut korang risau adalah Tun M.?",0,0,1
91,29/4/2018 4:06,You are representing your party. Samalah macam orang tak suka Najib dan tolak BN.  Aduh simple je benda ni jangan rumitkan.,0,0.357142857,0
94,29/4/2018 4:06,"Dulu PRU hadapi masalah blackout.

Kali ini, PRU hadapi masalah IC.

Najib amat pandai sekali. Nak menang tanpa bertanding. Ini lah sikap BN. https//t.co/bbDt6mPqd4",0,0,0
95,29/4/2018 4:06,blast from the past Najib's 1MDB (1 More D^4 Bloody Bastard Blogger). https//t.co/AdzptXS6PJ,-0.183333333,0.55,0
96,29/4/2018 4:05,Aku sedih la siapa yang buat fake account semata-mata nak backup najib,-0.5,1,0
98,29/4/2018 4:05,"Since 2010  has been running $378b deficit budget PLUS (I bet u didn't know this) $97b in Supp Budgets. Under Tun &amp; AAB, PMO budgets were tops RM4b, Najib's average $16b (slush fund). With so much fat to cut, yr &amp; my grandmothers wud know where to take d knife to! https//t.co/hQgs5YLqWm",0.05,0.3,0
99,29/4/2018 4:05,Due to  Najib &amp; Felda Chairman Shahrir forcing investment in crony Pe?,-0.125,0.375,0
101,Sun Apr 29 04:27:45 +0000 2018,b'RT @Fred9Fareed: Sebab tu PRU 14 ni kita kena tolak UMNO dan PAS. Satu parti mainkan isu sentimen perkauman. Satu parti lagi mainkan isu se',0,0,0
101,Sun Apr 29 04:28:03 +0000 2018,b'RT @Fred9Fareed: Sebab tu PRU 14 ni kita kena tolak UMNO dan PAS. Satu parti mainkan isu sentimen perkauman. Satu parti lagi mainkan isu se',0,0,0
101,Sun Apr 29 04:28:16 +0000 2018,"b'My answer to Can show me proof as a PM, what Tun.Dr, Mahathir and PM Najib Razak have contributed to the Indian com https://t.co/7RAAOgK4r0'",0,0,1
101,Sun Apr 29 04:28:21 +0000 2018,"b""RT @warabiyah: Pandikar will be speaker again if BN wins. And cabinet will be same old fat corrupted Najib's baruahs. I don't want that. So""",0.133333333,0.175,0
101,Sun Apr 29 04:28:55 +0000 2018,"b'RT @sabatinidzue: Suami ckp smlm masa Solat Jumaat\n\nHabis solat, Imam baca doa.\n\nDah elok bahasa Arab, tiba - tiba..\n\nYa Allah, bantulah D'",0,0,1
101,Sun Apr 29 04:28:56 +0000 2018,b'RT @the50d: Hi! Sy merupakan graduan medical line tajaan JPA yg kini menganggur hampir 2 tahun. Bkn sy sorang je hampir 4 ribu kwn2 satu co',0,0,0
101,Sun Apr 29 04:29:05 +0000 2018,"b'RT @hanimomo: Too far-fetch to expect Umno to push Najib out of the party after GE, but watch out when Zahid is sidelined, H20 and SSK get'",0,0,1
101,Sun Apr 29 04:29:06 +0000 2018,b'RT @manivarman1204: Those who talk so big about BN and Najib. Think twice before you vote https://t.co/GLfRzJGkhZ',0,0.1,0
101,Sun Apr 29 04:29:19 +0000 2018,"b'@FaridZamri @NajibRazak Kerje ko hebat. Najib bangga negara kononnya bagus, ekonomi terbaik.. pendapatan rakyat men https://t.co/5pJ56dyhOh'",0,0,1
101,Sun Apr 29 04:29:23 +0000 2018,"b""RT @khalidkarim: I want PH to win cos;\n1)Only way to get to the bottom of the 1MDB story.\n2)Review of Najib's megaprojects can give us bett""",0.8,0.4,0
101,Sun Apr 29 04:29:27 +0000 2018,b'Same here...\n#Truth  https://t.co/rWyAaXpjka',0,0.125,0
101,Sun Apr 29 04:29:32 +0000 2018,"b""RT @amirhimself: Last election, the narrative used by BN folks to placate the angry public was that GE13 would be Najib's last election. Th""",-0.125,0.3,0
101,Sun Apr 29 04:29:46 +0000 2018,"b'I will remain loyal to Pekan, says Najib #GE14 #MalaysiMemilih https://t.co/sSzxHsy0VN'",0.333333333,0.833333333,1
101,Sun Apr 29 04:29:58 +0000 2018,b'@bukanaimantino @sarinahhh98 @SokanMalaya07 @Khairykj @jaiothman @rafiziramli @chedetofficial X kn jwp punya..puli. https://t.co/0w8ibVJkqw',0,0,0
101,Sun Apr 29 04:30:25 +0000 2018,b'Jatuh kan najib sahaja..klu dia masih memerintah..duit akan jatuh lagi..kos hidup akan tggi..nak beli RUMAH..jangan harapp lahh siall',0,0,0
101,Sun Apr 29 04:30:34 +0000 2018,"b""RT @khalidkarim: I want PH to win cos;\n1)Only way to get to the bottom of the 1MDB story.\n2)Review of Najib's megaprojects can give us bett""",0.8,0.4,0
101,Sun Apr 29 04:30:40 +0000 2018,b'RT @Actor_Vivek: Wrong news! Some one replaced the photo. It was originally Dr.Tun.M pic only. I m not a politician. But just a fan of Dr.M',-0.083333333,0.883333333,0
101,Sun Apr 29 04:31:35 +0000 2018,"b'RT @Abam_Win: #undinegaraku Drama minta simpati. Kedai roti lingkup la, ada orang sabotaj la. Pasal pesawat kena sabotaj tu, rupanya tayar'",0,0,0
101,Sun Apr 29 04:31:53 +0000 2018,"b""RT @amirhimself: Last election, the narrative used by BN folks to placate the angry public was that GE13 would be Najib's last election. Th""",-0.125,0.3,0
101,Sun Apr 29 04:31:54 +0000 2018,"b'@FaridZamri @NajibRazak Sejak bila aku maki hamun Najib? Bg satu ayat, mana yg aku maki hamun najib? Aku cuma kata https://t.co/d8KwcLZhUy'",0,0,0
101,Sun Apr 29 04:32:13 +0000 2018,b'@NajibRazak memang tidak ku salah sangka.. engkau najib mempunyai hati yang sungguh busuk akibat dari terlalu banya https://t.co/ZEDPyBjoIp',0,0,0
101,Sun Apr 29 04:32:15 +0000 2018,b'RT @BintangRamah: @NajibRazak Kesilapan Tun paling besar ialah naikkan DS najib..',0,0,0
101,Sun Apr 29 04:32:27 +0000 2018,"b'RT @SumishaCNA: Chants of ""Reformasi"" as Pakatan &amp; Dr Mahathir supporters arrive at nomination centre. ""Reformasi"" means ""reformation"". But'",0,0,0
101,Sun Apr 29 04:32:27 +0000 2018,b'RT @TheRakyatRasmi: Pembangkang licik lari ke tempat selamat - PM Najib - https://t.co/3kVm36ioIK #therakyat',0,0,1
101,Sun Apr 29 04:32:35 +0000 2018,"b'RT @NaezaFinaz: @NajibRazak Ni ke cara Najib berkempen?Macam kempen ketua darjah sekolah rendah jer guna taktik hina pihak lawan.Oh ya lah,'",0,0,0
101,Sun Apr 29 04:32:36 +0000 2018,b'@aishasbrdn Modal Najib ni Aishah...dah terkepit...',0,0,0
101,Sun Apr 29 04:32:48 +0000 2018,"b'RT @TheDukeofKL: Sejarah Hitam YB Khairy Jamaluddin Yang Tidak Diketahui Ramai\n\n1. Selepas kekalahan teruk BN dlm PRU12 pd 2008, berlaku de'",0,0,0
101,Sun Apr 29 04:33:03 +0000 2018,b'RT @napiez: Im gonna put my expectations low. BN to lose enough seats for UMNO to push Najib out. BN to win Ktan but lose Johor.',0.266666667,0.4,0
101,Sun Apr 29 04:33:30 +0000 2018,"b'RT @MsiaChronicle: PAKATAN BOUNCES BACK - FIRST NIGHT, MALAYSIA ALREADY FIRED UP: TENS OF THOUSANDS PACK PENANG TO HEAR GUAN ENG, MARINA MA'",0.125,0.166666667,0
101,Sun Apr 29 04:33:43 +0000 2018,"b'@mkabmr @niknazmi @zulhasnan118 Itu Najib Razak. BN memang mcm tu, dah masuk tipu macam2 last last kata dah pulangkan balik. Hahaha'",0.066666667,0.177777778,0
101,Sun Apr 29 04:33:49 +0000 2018,"b'RT @sabatinidzue: Suami ckp smlm masa Solat Jumaat\n\nHabis solat, Imam baca doa.\n\nDah elok bahasa Arab, tiba - tiba..\n\nYa Allah, bantulah D'",0,0,1
101,Sun Apr 29 04:33:53 +0000 2018,b'RT @Fred9Fareed: Sebab tu PRU 14 ni kita kena tolak UMNO dan PAS. Satu parti mainkan isu sentimen perkauman. Satu parti lagi mainkan isu se',0,0,0
101,Sun Apr 29 04:34:17 +0000 2018,"b""RT @khalidkarim: I want PH to win cos;\n1)Only way to get to the bottom of the 1MDB story.\n2)Review of Najib's megaprojects can give us bett""",0.8,0.4,0
101,Sun Apr 29 04:34:19 +0000 2018,"b'RT @NaezaFinaz: @NajibRazak Ni ke cara Najib berkempen?Macam kempen ketua darjah sekolah rendah jer guna taktik hina pihak lawan.Oh ya lah,'",0,0,0
101,Sun Apr 29 04:34:29 +0000 2018,b'@iamharizshah @chedetofficial Abislah Najib tahu kena tebanglah nanti!!Kenapa beritahu..hmm..',0,0,0
101,Sun Apr 29 04:34:36 +0000 2018,b'RT @Fred9Fareed: Sebab tu PRU 14 ni kita kena tolak UMNO dan PAS. Satu parti mainkan isu sentimen perkauman. Satu parti lagi mainkan isu se',0,0,0
101,Sun Apr 29 04:34:48 +0000 2018,b'RT @Fred9Fareed: Sebab tu PRU 14 ni kita kena tolak UMNO dan PAS. Satu parti mainkan isu sentimen perkauman. Satu parti lagi mainkan isu se',0,0,0
101,Sun Apr 29 04:35:18 +0000 2018,"b'RT @TheDukeofKL: Sejarah Hitam YB Khairy Jamaluddin Yang Tidak Diketahui Ramai\n\n1. Selepas kekalahan teruk BN dlm PRU12 pd 2008, berlaku de'",0,0,0
101,Sun Apr 29 04:36:12 +0000 2018,"b'RT @faiizmdnoor: @mirchigo_ @ABGKYO Betapa teruknya najib sampai dia sanggup jilat balik ludah dia, see that way bro, how hard pemerintahan'",-0.291666667,0.541666667,0
101,Sun Apr 29 04:36:13 +0000 2018,b'RT @TheRakyatRasmi: Pembangkang licik lari ke tempat selamat - PM Najib - https://t.co/3kVm36ioIK #therakyat',0,0,1
101,Sun Apr 29 04:36:25 +0000 2018,"b'RT @SumishaCNA: Chants of ""Reformasi"" as Pakatan &amp; Dr Mahathir supporters arrive at nomination centre. ""Reformasi"" means ""reformation"". But'",0,0,0
101,Sun Apr 29 04:36:47 +0000 2018,b'Pekan incumbent Najib Razak urges army personnel to join him in the fight against fake news . Mr Najib is https://t.co/sruit6jyz9',-0.5,1,1
101,Sun Apr 29 04:36:49 +0000 2018,"b'RT @syahredzan: Untuk PRU ini, walau parti manapun yang anda sokong, jika anda mahu lihat kerajaan baru, anda kena undi calon PH.\n\nSbg seor'",0,0,0
101,Sun Apr 29 04:37:02 +0000 2018,b'RT @Fred9Fareed: Sebab tu PRU 14 ni kita kena tolak UMNO dan PAS. Satu parti mainkan isu sentimen perkauman. Satu parti lagi mainkan isu se',0,0,0
101,Sun Apr 29 04:37:18 +0000 2018,b'Tun&gt;Najib https://t.co/ZdjG5WW63t',0,0,1
101,Sun Apr 29 04:37:38 +0000 2018,b'RT @RizaTann: The problem with Opposition today:\n\n1) U only present urself as alternate to BN. U dont give voters a POSITIVE REASON to vote',0.056818182,0.386363636,1
101,Sun Apr 29 04:37:46 +0000 2018,b'Tahniah @relamalaysia !! https://t.co/qDTUpkTPBU',0,0,1
101,Sun Apr 29 04:37:47 +0000 2018,b'RT @firdyfire: ATTN: @mpkotabelud .. Jibby bitching about you bro? Larian Kotabelud - Sepanggar. https://t.co/gOkdVGKauH',0,0,0
101,Sun Apr 29 04:38:14 +0000 2018,b'RT @Fred9Fareed: Sebab tu PRU 14 ni kita kena tolak UMNO dan PAS. Satu parti mainkan isu sentimen perkauman. Satu parti lagi mainkan isu se',0,0,0
101,Sun Apr 29 04:38:19 +0000 2018,"b'RT @TheDukeofKL: Sejarah Hitam YB Khairy Jamaluddin Yang Tidak Diketahui Ramai\n\n1. Selepas kekalahan teruk BN dlm PRU12 pd 2008, berlaku de'",0,0,0
101,Sun Apr 29 04:38:56 +0000 2018,"b'@walid_joe Sb pengundi cina bijak2 la dia undi sb dia tau dia boleh makan najib,tun depa xboleh nk makan'",0,0,1
101,Sun Apr 29 04:39:36 +0000 2018,b'RT @ayshardzn: I had to look at Najibs face along the highway from JB to KL. Basically all the Big Tree billboard will either have BN mani',0,0.1,0
101,Sun Apr 29 04:39:44 +0000 2018,"b'Kalau Adnan still calon MB Pahang, aku doakan PH menang kat Pahang. Biar jadi macam Selangor. Macam-macam najib bua https://t.co/rhjjnbOcBg'",0,0,0
101,Sun Apr 29 04:39:55 +0000 2018,b'@kyellz if najib trun! tibah! haha',0.2,0.3,0
101,Sun Apr 29 04:40:00 +0000 2018,"b'RT @sabatinidzue: Suami ckp smlm masa Solat Jumaat\n\nHabis solat, Imam baca doa.\n\nDah elok bahasa Arab, tiba - tiba..\n\nYa Allah, bantulah D'",0,0,1
101,Sun Apr 29 04:40:02 +0000 2018,"b'RT @MsiaChronicle: ON DAY 2, MAHATHIR LEAVES NAJIB FURTHER BEHIND IN FIGHT FOR HEARTS &amp; MINDS OF MALAYSIANS: WILY EX-PM APPEARS IN EMOTIONA'",-0.2,0.6,0
101,Sun Apr 29 04:40:03 +0000 2018,b'RT @chedetofficial: Najib kata saya tak buat apa-apa pembangunan semasa saya jadi PM ? \n\nSaya setuju dengan dia.\n\nIni jawapan saya. https:/',0,0,0
101,Sun Apr 29 04:40:29 +0000 2018,"b'RT @sabatinidzue: Suami ckp smlm masa Solat Jumaat\n\nHabis solat, Imam baca doa.\n\nDah elok bahasa Arab, tiba - tiba..\n\nYa Allah, bantulah D'",0,0,1
101,Sun Apr 29 04:40:52 +0000 2018,"b'RT @tapaimalaya: All we want is a Malaysian government, not a Malay government sprinkled with spices and soy sauce, so you can fuck off and'",-0.4,0.6,0
101,Sun Apr 29 04:40:55 +0000 2018,b'rosy cheek segala https://t.co/dsVyP9xK0W',0,0,1
101,Sun Apr 29 04:40:56 +0000 2018,"b""RT @warabiyah: Pandikar will be speaker again if BN wins. And cabinet will be same old fat corrupted Najib's baruahs. I don't want that. So""",0.133333333,0.175,0
101,Sun Apr 29 04:41:24 +0000 2018,"b'RT @sabatinidzue: Suami ckp smlm masa Solat Jumaat\n\nHabis solat, Imam baca doa.\n\nDah elok bahasa Arab, tiba - tiba..\n\nYa Allah, bantulah D'",0,0,1
101,Sun Apr 29 04:41:35 +0000 2018,b'RT @bongkersz: Yang penting Najib bangga.\n\nhttps://t.co/H3x3CdheNY',0,0,1
101,Sun Apr 29 04:41:42 +0000 2018,b'RT @TheRakyatRasmi: Pembangkang licik lari ke tempat selamat - PM Najib - https://t.co/3kVm36ioIK #therakyat',0,0,1
101,Sun Apr 29 04:41:53 +0000 2018,b'RT @TheRakyatRasmi: Pembangkang licik lari ke tempat selamat - PM Najib - https://t.co/3kVm36ioIK #therakyat',0,0,1
101,Sun Apr 29 04:41:59 +0000 2018,b'RT @NaufalAntezem: Replace Najib with Tok Mat of Negeri Sembilan. Easy win for BN.',0.616666667,0.616666667,0
101,Sun Apr 29 04:42:06 +0000 2018,b'@syahirahamim1 Najib hahaha',0.2,0.4,1
101,Sun Apr 29 04:42:08 +0000 2018,"b'RT @tapaimalaya: All we want is a Malaysian government, not a Malay government sprinkled with spices and soy sauce, so you can fuck off and'",-0.4,0.6,0
101,Sun Apr 29 04:42:14 +0000 2018,"b'RT @sabatinidzue: Suami ckp smlm masa Solat Jumaat\n\nHabis solat, Imam baca doa.\n\nDah elok bahasa Arab, tiba - tiba..\n\nYa Allah, bantulah D'",0,0,1
101,Sun Apr 29 04:42:20 +0000 2018,"b'RT @yipsubri: Kalau Adnan still calon MB Pahang, aku doakan PH menang kat Pahang. Biar jadi macam Selangor. Macam-macam najib buat nak tari'",0,0,0
101,Sun Apr 29 04:42:23 +0000 2018,b'This looks like one of my grumpy instastories https://t.co/CaXETp0Qfs',0,0,0
101,Sun Apr 29 04:42:43 +0000 2018,"b'RT @syahredzan: Untuk PRU ini, walau parti manapun yang anda sokong, jika anda mahu lihat kerajaan baru, anda kena undi calon PH.\n\nSbg seor'",0,0,0
101,Sun Apr 29 04:42:59 +0000 2018,"b""RT @khalidkarim: I want PH to win cos;\n1)Only way to get to the bottom of the 1MDB story.\n2)Review of Najib's megaprojects can give us bett""",0.8,0.4,0
101,Sun Apr 29 04:43:00 +0000 2018,b'RT @chedetofficial: Najib kata saya tak buat apa-apa pembangunan semasa saya jadi PM ? \n\nSaya setuju dengan dia.\n\nIni jawapan saya. https:/',0,0,0
101,Sun Apr 29 04:43:03 +0000 2018,b'harap Najib still PM https://t.co/OtZP31mFZX',0,0,1
101,Sun Apr 29 04:43:07 +0000 2018,b'RT @Actor_Vivek: Wrong news! Some one replaced the photo. It was originally Dr.Tun.M pic only. I m not a politician. But just a fan of Dr.M',-0.083333333,0.883333333,0
101,Sun Apr 29 04:43:17 +0000 2018,"b'if you want younger person to be our PM,can you suggest 1?\nTun M is just a stepping stone for gov change,not necess https://t.co/UBaX1pliAM'",0,0,1
101,Sun Apr 29 04:43:38 +0000 2018,"b'RT @sabatinidzue: Suami ckp smlm masa Solat Jumaat\n\nHabis solat, Imam baca doa.\n\nDah elok bahasa Arab, tiba - tiba..\n\nYa Allah, bantulah D'",0,0,1
101,Sun Apr 29 04:44:01 +0000 2018,"b'Najib: We stick around, they hop around - Free Malaysia Today https://t.co/DW7ZMcQ35s https://t.co/jDA9z7Rcpx'",0.4,0.8,1
101,Sun Apr 29 04:44:05 +0000 2018,b'RT @bongkersz: Yang penting Najib bangga.\n\nhttps://t.co/H3x3CdheNY',0,0,1
101,Sun Apr 29 04:44:08 +0000 2018,b'RT @Fred9Fareed: Sebab tu PRU 14 ni kita kena tolak UMNO dan PAS. Satu parti mainkan isu sentimen perkauman. Satu parti lagi mainkan isu se',0,0,0
101,Sun Apr 29 04:44:24 +0000 2018,b'RT @esshankar1: @sarawak_report @2sayornot2say @FeldaLKTP Due to @PMOMalaysia Najib &amp; Felda Chairman Shahrir forcing investment in crony Pe',-0.125,0.375,0
101,Sun Apr 29 04:44:24 +0000 2018,b'RT @TheRakyatRasmi: Pembangkang licik lari ke tempat selamat - PM Najib - https://t.co/3kVm36ioIK #therakyat',0,0,1
101,Sun Apr 29 04:44:25 +0000 2018,"b'RT @sabatinidzue: Suami ckp smlm masa Solat Jumaat\n\nHabis solat, Imam baca doa.\n\nDah elok bahasa Arab, tiba - tiba..\n\nYa Allah, bantulah D'",0,0,1
101,Sun Apr 29 04:44:33 +0000 2018,b'RT @AriffNizam: Sebarkan ini. \n\nUndi Wee Ka Siong = UNDI NAJIB &amp; ROSMAH. \n\nPangkah KEADILAN. #BinaHarapan https://t.co/VX9tUukMAl',0,0,0
101,Sun Apr 29 04:44:47 +0000 2018,b'@asiahussainn Takde jerawat pulak tu. Patot mintak skincare tips kat najib',0,0,1
101,Sun Apr 29 04:44:53 +0000 2018,b'RT @ZainudinMaidin: Keputusan Nik Omar anak Nik Aziz utk bertanding dikawasan bapanya sebagai calon MB kelantan mengugat dengan parahnya s',0,0,0
101,Sun Apr 29 04:45:03 +0000 2018,b'@__farahx @SyedSaddiq Cina tak boleh memerintah sbb dalam perlembagaan hanya melayu islam je boleh jadi perdana men https://t.co/Bu5ldkwzFQ',0,0,1
101,Sun Apr 29 04:45:23 +0000 2018,"b""RT @adrianlimcheeen: 6 MINGGU BERTURUT-TURUT harga petrol dikekalkan. Paling lama sejak 'float system' diperkenalkan.\n\n(Sejak 22 Mac)\nRon95""",0,0,1
101,Sun Apr 29 04:45:37 +0000 2018,b'RT @TheRakyatRasmi: Pembangkang licik lari ke tempat selamat - PM Najib - https://t.co/3kVm36ioIK #therakyat',0,0,1
101,Sun Apr 29 04:45:44 +0000 2018,b'Kenapa masih ada manusia yang back up Najib untuk skandal skandal yang jelas trang tang tang dalam mata............ https://t.co/6PYfOTgj5A',0,0,0
101,Sun Apr 29 04:45:50 +0000 2018,b'Najib boleh mau lek sat kot.',0,0,0
101,Sun Apr 29 04:46:07 +0000 2018,b'RT @Rah61mad: RT @sweetcakceebo: Media Luar Negara melaporkan Najib Razak sebagai Menteri Kewangan TERBAIK ASIA.. https://t.co/KQGOkXalKQ',0,0,1
101,Sun Apr 29 04:46:22 +0000 2018,"b'RT @sabatinidzue: Suami ckp smlm masa Solat Jumaat\n\nHabis solat, Imam baca doa.\n\nDah elok bahasa Arab, tiba - tiba..\n\nYa Allah, bantulah D'",0,0,1
101,Sun Apr 29 04:46:26 +0000 2018,b'RT @TheRakyatRasmi: Pembangkang licik lari ke tempat selamat - PM Najib - https://t.co/3kVm36ioIK #therakyat',0,0,1
101,Sun Apr 29 04:46:34 +0000 2018,b'RT @Fred9Fareed: Sebab tu PRU 14 ni kita kena tolak UMNO dan PAS. Satu parti mainkan isu sentimen perkauman. Satu parti lagi mainkan isu se',0,0,0
101,Sun Apr 29 04:46:37 +0000 2018,b'RT @amirulruslan: Bloomberg Businessweeks Najib cover is a masterpiece of layout design journalism. https://t.co/4U3zR5VVHp',0,0,0
101,Sun Apr 29 04:46:43 +0000 2018,"b'Thus far, about RM 40 billion has been allocated from 2008 to 2018 to support non-Islamic places of worships. \n\nA v https://t.co/EtQXpZ00Ld'",0.1,1,1
101,Sun Apr 29 04:47:01 +0000 2018,b'RT @LiewChinTong: Now I know the other reason why SPR came out with a rule that only photos of party leaders are allowed. SPR wants to ta',0.025,0.491666667,0
101,Sun Apr 29 04:47:12 +0000 2018,b'Kenapa masih ada manusia yang back up Najib untuk skandal skandal yang jelas trang tang tang depan mata............ https://t.co/pgqGsSQd2Y',0,0,0
101,Sun Apr 29 04:47:16 +0000 2018,b'Malaysias election campaign kicks off.\nNajib leads his undefeated ruling coalition into arguably its toughest elec https://t.co/uZlaFmploN',0,0,0
101,Sun Apr 29 04:47:17 +0000 2018,b'RT @ZamriN9: Najib ke yg bermaruah tu?? https://t.co/rhmMD3bXr7',0,0,0
101,Sun Apr 29 04:47:19 +0000 2018,b'RT @TheRakyatRasmi: Pembangkang licik lari ke tempat selamat - PM Najib - https://t.co/3kVm36ioIK #therakyat',0,0,1
